ACCIONA,111.000,112.600,109.500,21:42
ACCIONA ENER,19.620,19.860,18.960,21:42
ACERINOX,10.230,10.290,10.140,21:42
ACS,37.800,37.920,37.500,21:42
AENA,180.500,181.500,175.000,21:42
AMADEUS IT GROUP,60.900,61.180,59.700,21:42
ARCELORMITTAL,24.340,24.620,23.440,21:42
BANCO SABADELL,1.860,1.970,1.853,21:42
BANKINTER,7.542,7.578,7.456,21:42
BBVA,9.784,10.080,9.770,21:42
CAIXABANK,4.935,5.048,4.925,21:42
CELLNEX TELECOM,31.900,32.000,31.050,21:42
COLONIAL,5.615,5.640,5.460,21:42
ENAGAS,13.730,13.910,13.730,21:42
ENDESA,17.280,17.345,17.110,21:42
FERROVIAL,34.060,34.160,33.660,21:42
FLUIDRA,19.990,20.080,19.700,21:42
GRIFOLS,8.742,9.140,8.670,21:42
IAG,2.086,2.086,2.036,21:42
IBERDROLA,11.575,11.670,11.500,21:42
INDITEX,42.500,43.260,42.210,21:42
INDRA,18.040,18.080,17.840,21:42
LOGISTA,25.700,25.700,25.480,21:42
MAPFRE,2.262,2.286,2.260,21:42
MELIÁ HOTELS,7.385,7.410,7.300,21:42
MERLIN PROP,10.770,10.800,10.540,21:42
NATURGY,23.860,23.980,23.600,21:42
REDEIA,15.910,15.920,15.500,21:42
REPSOL,14.400,14.550,14.315,21:42
ROVI,82.200,84.400,81.950,21:42
SACYR,3.314,3.324,3.240,21:42
SANTANDER,4.565,4.620,4.541,21:42
SOLARIA,9.865,9.910,9.600,21:42
TELEFÓNICA,4.230,4.242,4.183,21:42
UNICAJA BANCO,1.288,1.288,1.251,21:42
ACCIONA,111.000,112.600,109.500,21:43
ACCIONA ENER,19.620,19.860,18.960,21:43
ACERINOX,10.230,10.290,10.140,21:43
ACS,37.800,37.920,37.500,21:43
AENA,180.500,181.500,175.000,21:43
AMADEUS IT GROUP,60.900,61.180,59.700,21:43
ARCELORMITTAL,24.340,24.620,23.440,21:43
BANCO SABADELL,1.860,1.970,1.853,21:43
BANKINTER,7.542,7.578,7.456,21:43
BBVA,9.784,10.080,9.770,21:43
CAIXABANK,4.935,5.048,4.925,21:43
CELLNEX TELECOM,31.900,32.000,31.050,21:43
COLONIAL,5.615,5.640,5.460,21:43
ENAGAS,13.730,13.910,13.730,21:43
ENDESA,17.280,17.345,17.110,21:43
FERROVIAL,34.060,34.160,33.660,21:43
FLUIDRA,19.990,20.080,19.700,21:43
GRIFOLS,8.742,9.140,8.670,21:43
IAG,2.086,2.086,2.036,21:43
IBERDROLA,11.575,11.670,11.500,21:43
INDITEX,42.500,43.260,42.210,21:43
INDRA,18.040,18.080,17.840,21:43
LOGISTA,25.700,25.700,25.480,21:43
MAPFRE,2.262,2.286,2.260,21:43
MELIÁ HOTELS,7.385,7.410,7.300,21:43
MERLIN PROP,10.770,10.800,10.540,21:43
NATURGY,23.860,23.980,23.600,21:43
REDEIA,15.910,15.920,15.500,21:43
REPSOL,14.400,14.550,14.315,21:43
ROVI,82.200,84.400,81.950,21:43
SACYR,3.314,3.324,3.240,21:43
SANTANDER,4.565,4.620,4.541,21:43
SOLARIA,9.865,9.910,9.600,21:43
TELEFÓNICA,4.230,4.242,4.183,21:43
UNICAJA BANCO,1.288,1.288,1.251,21:43
ACCIONA,111.000,112.600,109.500,21:57
ACCIONA ENER,19.620,19.860,18.960,21:57
ACERINOX,10.230,10.290,10.140,21:57
ACS,37.800,37.920,37.500,21:57
AENA,180.500,181.500,175.000,21:57
AMADEUS IT GROUP,60.900,61.180,59.700,21:57
ARCELORMITTAL,24.340,24.620,23.440,21:57
BANCO SABADELL,1.860,1.970,1.853,21:57
BANKINTER,7.542,7.578,7.456,21:57
BBVA,9.784,10.080,9.770,21:57
CAIXABANK,4.935,5.048,4.925,21:57
CELLNEX TELECOM,31.900,32.000,31.050,21:57
COLONIAL,5.615,5.640,5.460,21:57
ENAGAS,13.730,13.910,13.730,21:57
ENDESA,17.280,17.345,17.110,21:57
FERROVIAL,34.060,34.160,33.660,21:57
FLUIDRA,19.990,20.080,19.700,21:57
GRIFOLS,8.742,9.140,8.670,21:57
IAG,2.086,2.086,2.036,21:57
IBERDROLA,11.575,11.670,11.500,21:57
INDITEX,42.500,43.260,42.210,21:57
INDRA,18.040,18.080,17.840,21:57
LOGISTA,25.700,25.700,25.480,21:57
MAPFRE,2.262,2.286,2.260,21:57
MELIÁ HOTELS,7.385,7.410,7.300,21:57
MERLIN PROP,10.770,10.800,10.540,21:57
NATURGY,23.860,23.980,23.600,21:57
REDEIA,15.910,15.920,15.500,21:57
REPSOL,14.400,14.550,14.315,21:57
ROVI,82.200,84.400,81.950,21:57
SACYR,3.314,3.324,3.240,21:57
SANTANDER,4.565,4.620,4.541,21:57
SOLARIA,9.865,9.910,9.600,21:57
TELEFÓNICA,4.230,4.242,4.183,21:57
UNICAJA BANCO,1.288,1.288,1.251,21:57
ACCIONA,111.000,112.600,109.500,21:58
ACCIONA ENER,19.620,19.860,18.960,21:58
ACERINOX,10.230,10.290,10.140,21:58
ACS,37.800,37.920,37.500,21:58
AENA,180.500,181.500,175.000,21:58
AMADEUS IT GROUP,60.900,61.180,59.700,21:58
ARCELORMITTAL,24.340,24.620,23.440,21:58
BANCO SABADELL,1.860,1.970,1.853,21:58
BANKINTER,7.542,7.578,7.456,21:58
BBVA,9.784,10.080,9.770,21:58
CAIXABANK,4.935,5.048,4.925,21:58
CELLNEX TELECOM,31.900,32.000,31.050,21:58
COLONIAL,5.615,5.640,5.460,21:58
ENAGAS,13.730,13.910,13.730,21:58
ENDESA,17.280,17.345,17.110,21:58
FERROVIAL,34.060,34.160,33.660,21:58
FLUIDRA,19.990,20.080,19.700,21:58
GRIFOLS,8.742,9.140,8.670,21:58
IAG,2.086,2.086,2.036,21:58
IBERDROLA,11.575,11.670,11.500,21:58
INDITEX,42.500,43.260,42.210,21:58
INDRA,18.040,18.080,17.840,21:58
LOGISTA,25.700,25.700,25.480,21:58
MAPFRE,2.262,2.286,2.260,21:58
MELIÁ HOTELS,7.385,7.410,7.300,21:58
MERLIN PROP,10.770,10.800,10.540,21:58
NATURGY,23.860,23.980,23.600,21:58
REDEIA,15.910,15.920,15.500,21:58
REPSOL,14.400,14.550,14.315,21:58
ROVI,82.200,84.400,81.950,21:58
SACYR,3.314,3.324,3.240,21:58
SANTANDER,4.565,4.620,4.541,21:58
SOLARIA,9.865,9.910,9.600,21:58
TELEFÓNICA,4.230,4.242,4.183,21:58
UNICAJA BANCO,1.288,1.288,1.251,21:58
